Parent Therapy,Therapy exact name and spelling reqd,Image,Description,
,Energy Healing,THRIIVE MODALITIES ENERGY HEALING CATEGORY SYMBOL.png,,
Energy Healing,Reiki,THRIIVE MODALITIES ENERGY HEALING-REIKI.png,"Reiki is an ancient Japanese form of energy healing where the practitioner channelizes Chi energy from the Universal Life Force through their hands to a person, place, event, relationship or even a long-distance occurrence. Reiki is also used for chakra healing, chakra balancing, healing chronic ailments, removing energetic blocks and cleansing the auric field. This extra energy infused with the astral body kick-starts the innate ability of the body to heal itself, rejuvenates the flow of Chi and clears emotional blocks.",
Energy Healing,Pranic Healing,THRIIVE MODALITIES ENERGY HEALING-PRANIK HEALING.png,"Pranic Healing This is an ancient yogic practice where one uses prana(cosmic energy)to heal various ailments in the body by contributing pure prana to the vital body. Pranic healing is used to balance and heal chakras, which aid in healing old emotional and karmic energetic blocks. It facilitates the smooth flow of prana in the vital body, which in turn heals the physical and emotional body.",
Energy Healing,Theta Healing,THRIIVE MODALITIES ENERGY HEALING-THETA HEALING.png,"Theta Healing occurs in a deep meditative state that generates theta brain waves. These theta brain wave states are used to establish a strong connection with the soul on a higher vibrational level to facilitate healing. With this discovery, using the concept of seven planes of existence, one can connect to the Creator of All That Is. One can view the limiting beliefs from a higher perspective, replace them with changed positive beliefs and thereby, see miraculous healings for oneself as well as others.",
Energy Healing,Crystal Healing,THRIIVE MODALITIES ENERGY HEALING-CRYSTAL HEALING.png,Crystal Healing or Therapy is a form of vibrational medicine that involves using the high-energy consciousness of crystals to facilitate healing. Crystals have healing vibrations that heal the receiver balancing their chakras and aura as they are a part of earth consciousness and very much alive.,
Energy Healing,Access Bars,THRIIVE MODALITIES ENERGY HEALING-ACCESS BARS.png,"Access Bars are 32 points on one’s head which when gently touched, release anything that doesn’t allow one to receive. These points have the storage of all the thoughts, beliefs, ideas, and emotions that one has stored in any lifetime. Each Access Bar session is capable of releasing 5-10 thousand years of limitations corresponding with the specific bar being touched. This is a nurturing and relaxing process where one can let go of any barriers and be willing to change in all aspects of one’s life.",
Energy Healing,Sujok Therapy,THRIIVE MODALITIES ENERGY HEALING-SUJOK THERAPY.png,"Sujok Therapy originated in Onnuri Medicine and is a system of treatment comprising of techniques that prevent and cure illnesses and restore health without any drugs. The basis of Sujok Therapy healing is the discovery of self-regulation of the energy system of the human body whereby each hand, foot and other locations are connected to and carry information of each organ. The hands and feet structurally correspond to micro points that can be used most effectively as remote controls to treat any diseased organ/part of the body.",
Energy Healing,Shaktipath,THRIIVE MODALITIES ENERGY HEALING-SHAKTIPATH.png,"Shaktipath is transmitted by an enlightened master to a disciple by a mantra, touch or look at the third eye chakra that awakens the dormant energy of the cosmic life force known as Kundalini, within the receiver.",
Energy Healing,Kundalini Activation,THRIIVE MODALITIES ENERGY HEALING-KUNDALINI ACTIVATION.png,"Kundalini is the divine cosmic force which is located at the base of the spine. Once activated, it can unlock spiritual siddhis and can also help one achieve enlightenment. It can be activated by spiritual masters and clears the Chakras when it flows in channels called Nadis. It results in clarity of thoughts and improved memory apart from giving relief from physical ailments.",
Energy Healing,DNA Activation,THRIIVE MODALITIES ENERGY HEALING-DNA ACTIVATION.png,"DNA Activation is the awakening of human consciousness that is expressed within the unlocking of the human DNA to its hidden full potential. There are still many undiscovered mysteries within each human being. In this new consciousness, the planet has shifted into awakening and there are many who are making this shift through a re-connection with their I Am presence. One can work with the DNA and give instructions to it so that each strand can be fully activated, and the person can embrace their full potential as creators.",
